Betway,English,2017_04_30,Man Utd,Swansea,1.4,4.75,9.0,47,34,66
Betway,Spanish,2017_04_28,Villarreal,Sporting Gijon,1.45,4.5,7.0,47,35,64
WilliamHill,German,2017_04_29,Leipzig,Ingolstadt,1.53,4.0,6.0,47,37,60
Betway,German,2017_04_30,Hoffenheim,Eintracht Frankfurt,1.57,4.5,5.75,47,38,59
Betway,Italian,2017_04_30,Cagliari,Pescara,1.57,4.33,5.5,47,38,59
WilliamHill,English,2017_04_29,Southampton,Hull,1.67,3.6,5.5,47,41,55
WilliamHill,Italian,2017_04_29,Torino,Sampdoria,1.67,3.75,5.0,47,41,55
WilliamHill,Italian,2017_04_30,Genoa,Chievo,1.73,3.5,5.0,47,42,54
WilliamHill,English,2017_04_29,Crystal Palace,Burnley,1.83,3.1,5.0,47,45,51
Betway,English,2017_04_30,Tottenham,Arsenal,1.87,3.8,4.2,47,46,50
WilliamHill,Italian,2017_04_30,Roma,Lazio,1.91,3.2,4.33,47,46,49
Betway,German,2017_04_29,Werder Bremen,Hertha Berlin,1.95,3.5,4.2,47,47,48
Betway,English,2017_04_29,Stoke,West Ham,2.15,3.4,3.6,47,52,43
Betway,German,2017_04_29,Mainz,M'gladbach,2.15,3.6,3.4,47,52,43
WilliamHill,Italian,2017_04_30,Empoli,Sassuolo,2.2,3.2,3.4,47,53,42
WilliamHill,Spanish,2017_04_30,Real Betis,Alaves,2.2,3.2,3.4,47,53,42
WilliamHill,Spanish,2017_04_30,Eibar,Leganes,2.2,3.2,3.4,47,53,42
WilliamHill,German,2017_04_28,Leverkusen,Schalke,2.37,3.1,3.1,47,58,39
Betway,Italian,2017_04_30,Bologna,Udinese,2.4,3.2,3.1,47,58,39
Betway,German,2017_04_30,Augsburg,Hamburg,2.55,3.3,2.9,47,62,36
WilliamHill,English,2017_04_29,West Brom,Leicester,2.62,3.1,2.75,47,64,36
